#node	p-value
CD4(920)	0.319971819809486
CAMK2D(817)	0.758938761154068
CD5(921)	0.565583226832836
CD8A(925)	0.761638778707674
CD8B1(926)	0.958219318710798
CD9(928)	7.04180108359649e-06
CD19(930)	0.0788815569308121
CD80(941)	0.502814803416948
CD86(942)	0.0596122237043847
TNFRSF8(943)	0.782075526531689
MS4A1(931)	0.774581184906316
CD40(958)	0.132533629479831
CD44(960)	0.202736661098711
ANK1(286)	0.774324689996449
CD69(969)	0.877276110872425
TNFRSF7(939)	0.100970715394693
CD74(972)	0.0175692122848321
CD1D(912)	0.869487768558302
CD79A(973)	0.747758291120173
CD81(975)	0.0169406321399772
CDA(978)	0.07197383291568
CCNE1(898)	2.27140583643825e-08
CCNA2(890)	0.0238844809227689
BUB1(699)	0.406078266635373
CCND3(896)	0.00961135977028053
CDC20(991)	0.964599136933935
BUB1B(701)	0.63280712214088
CDC2(983)	0.776771480731889
CDH1(999)	0.366792735773987
CDH3(1001)	0.952374687495246
CDH2(1000)	0.676486719535018
CDH13(1012)	0.592271180966705
CDC25A(993)	0.0583894287708427
CCNH(902)	0.0510617106261966
CDC6(990)	0.332957857747286
CCNC(892)	0.870957995301899
CCND2(894)	0.000421391995218601
CDK5(1020)	0.227489142027273
CCNG1(900)	0.105174012068002
CDK6(1021)	0.179724162635558
CDK2(1017)	0.951625965895396
CDK7(1022)	6.40376681567225e-06
CCNT2(905)	0.683078438607887
CDKN1A(1026)	0.912969250044642
CDK4(1019)	0.0176604375855016
CDKN2A(1029)	0.119342064553356
CDKN3(1033)	0.649954161035886
CEBPB(1051)	0.470841947054101
ATF4(468)	0.0305715313842801
CENPB(1059)	0.118047152506742
CENPE(1062)	0.309787360777843
CENPF(1063)	0.313136837886716
CHD3(1107)	0.288852745332312
CDC25C(995)	0.234269295373912
CDC25B(994)	0.974368144231184
CHUK(1147)	0.56065927599115
CKB(1152)	0.970042758984415
CDKN1B(1027)	0.613143562895387
CKS1B(1163)	0.10990161192163
CKS2(1164)	0.570383751930295
CD22(933)	0.613586984836489
CLK1(1195)	0.0298756691797566
CLK2(1196)	0.902528527254625
CLTC(1213)	0.163787312162171
CLTB(1212)	0.0261526151705006
CCR1(1230)	0.719004458105475
AFP(174)	0.307670875590869
CCR2(1231)	0.00104040606640713
CD36(948)	0.114321021661897
COL2A1(1280)	0.39939440265456
COL4A1(1282)	0.660264111732199
ANXA6(309)	0.00282496890690263
CR2(1380)	0.000144924893556692
BCL3(602)	0.45938077406724
CREB1(1385)	0.721722478550779
CREBBP(1387)	0.309473967248275
CAMK4(814)	0.490846543800116
CREM(1390)	0.0209099365685849
CRHR2(1395)	0.592553532844378
CRK(1398)	0.829628443275265
CD34(947)	0.832447843827274
CBLB(868)	0.700377835373309
ZFP36L1(677)	0.000296568055045286
CSF1(1435)	0.389653987888268
CSF1R(1436)	0.237537193057348
CSF2RA(1438)	0.0155814025759833
CSF2RB(1439)	0.10983779978966
CISH(1154)	0.909342133421676
CSF3R(1441)	0.381078046224925
CSK(1445)	0.0117117744403792
CDH5(1003)	0.528776595524985
CSNK1E(1454)	0.171320631158194
CSNK2A1(1457)	0.504220728121586
MAPK14(1432)	0.970505172919377
CSNK2A2(1459)	0.00926690474882944
CHEK1(1111)	0.0329252704216864
CDC42(998)	0.839356059135687
CTH(1491)	0.41542096396117
CTLA4(1493)	0.986081444720986
CSNK1A1(1452)	0.0272288665422938
CSNK1D(1453)	0.172017238313331
CTNNA1(1495)	0.913097067434672
ACP1(52)	0.000630371769678745
BCL9(607)	0.28517974317313
CTNNB1(1499)	0.000326602651636381
CTNND2(1501)	0.624174435360242
CTSB(1508)	0.420491293725553
CTSL(1514)	0.638506766570267
CD7(924)	0.674815523244776
CYBA(1535)	0.490357892150581
CYP11A1(1583)	0.502113521804212
CYP11B1(1584)	0.808849999373323
CRKL(1399)	0.00209823891828186
CD14(929)	0.613036861583266
DAF(1604)	0.266990684297524
DAPK1(1612)	0.459709985409736
CENPC1(1060)	0.582409847695289
ATRX(546)	0.389973378185363
COL4A5(1287)	0.235677969339893
DCTD(1635)	6.42234006313621e-06
DCT(1638)	0.365655752654314
ERCC8(1161)	0.339836762450091
DDB1(1642)	0.087283457225223
DHX9(1660)	0.0311710118614021
CCR6(1235)	0.479295580569145
DFFA(1676)	0.0972949028591777
DGUOK(1716)	0.757036149836693
CENPA(1058)	0.00963184948174325
SEPT1(1731)	0.52577654106137
DLD(1738)	0.363145996225504
DAP(1611)	0.000550019321194708
DMD(1756)	0.837023859480955
DNMT1(1786)	0.0913300438423718
DPP4(1803)	0.990742795051716
CRMP1(1400)	0.242146170092703
CRIP2(1397)	0.00152140942232418
DMPK(1760)	0.868119918855126
RERE(473)	0.462081991400917
TSC22D3(1831)	0.261357947860907
DTX1(1840)	0.0200692767117157
DUT(1854)	0.000253012514086655
DVL2(1856)	0.0748198393289535
DAB2(1601)	0.958517680023932
DVL3(1857)	0.753540621621536
DDB2(1643)	0.802203235084164
E2F1(1869)	0.0381393410305613
EBF(1879)	0.0276900496796458
EDN1(1906)	0.507310064564212
PHC2(1912)	0.229661936673541
EEF1A1(1915)	0.00249034504936003
DNMT2(1787)	0.687817163693692
DARS(1615)	0.443423082837626
AARS(16)	0.000653542221759724
CD48(962)	0.912339079913743
EFNB1(1947)	0.145021809636276
EFNB2(1948)	0.375076759418071
DUSP3(1845)	0.000369134474948876
CPM(1368)	0.632943677600879
KLF6(1316)	0.595513457137945
ACP5(54)	0.443306014652821
EIF2S1(1965)	0.000839392391380993
EIF2B1(1967)	0.414235661656503
EFNA1(1942)	0.893215615950045
EFNA5(1946)	0.327009846211216
EIF4E(1977)	0.0860579238787234
EIF4G1(1981)	2.95296622681845e-05
EIF4G2(1982)	8.18584515970741e-05
ENG(2022)	0.36032152535314
ENO2(2026)	0.122905304677234
ELK1(2002)	0.780761779000727
EGR1(1958)	0.00422573030591679
EP300(2033)	0.298406233982217
CHD4(1108)	0.327799957958649
E2F5(1875)	0.414927762815057
EPB41(2035)	0.034690375443916
CD47(961)	0.00294435405574473
EPB42(2038)	0.0514803982934411
EPHB2(2048)	0.497207186346757
EPHB3(2049)	0.21624219895623
EPS8(2059)	0.148869951602832
EPS15(2060)	0.652266264902768
ERBB2(2064)	0.639682285835115
ERBB4(2066)	0.642248864933956
CTGF(1490)	1.02926080879498e-05
ERCC2(2068)	0.119224258545138
ERCC1(2067)	0.000354316016735912
ERCC5(2073)	0.110499298487882
ERG(2078)	0.0593449622230183
ESRRA(2101)	0.00679109676985426
ETS1(2113)	0.727665953432184
ETS2(2114)	0.376382835446192
ETV6(2120)	0.00417295354641012
CEACAM5(1048)	0.995027946003989
EWSR1(2130)	0.102621754839087
EXT2(2132)	0.370412709774153
CTSG(1511)	0.261030344280578
F5(2153)	0.100287815026991
F3(2152)	0.846603337441808
FANCA(2175)	0.70742756875185
FANCC(2176)	0.163426888327178
PTK2B(2185)	0.154907977029659
CYP19A1(1588)	0.268398579674107
FAP(2191)	5.02324840691649e-07
FBP1(2203)	0.0486370066293216
FCGR1A(2209)	0.577574138774536
CD38(952)	0.184536259063453
FCER1G(2207)	0.470677867170906
FCGRT(2217)	0.207235503025385
FER(2241)	0.0173954145262676
FES(2242)	0.573263771510938
DOK1(1796)	0.00645830372295457
FGF1(2246)	0.550969396936882
FGF2(2247)	0.467238350653433
COL6A1(1291)	0.320052810640483
COL3A1(1281)	0.459555213786788
FGF9(2254)	0.899848741431012
FGF13(2258)	0.184710820834907
FGFR1(2260)	0.00018691458051739
FGF5(2250)	0.000394921098451241
FGFR3(2261)	0.0989205533012712
CTSK(1513)	1.23311683767401e-05
CD24(934)	0.000636828293023074
FGR(2268)	0.89261134456638
FHIT(2272)	0.297647812129874
AK1(203)	0.44144728477224
FIGF(2277)	0.738859395277151
DYRK1A(1859)	0.029357143591104
FLNA(2316)	0.620935844348616
FLNB(2317)	0.0178284233422136
FLT1(2321)	0.682347085015747
FLT3LG(2323)	0.0534452580060149
FLT4(2324)	0.711542544115981
COL6A2(1292)	0.986070075241474
DDIT3(1649)	0.959455214426098
FOS(2353)	0.0224355527395878
FPRL1(2358)	0.000118073190528647
FTH1(2495)	0.64332109416529
FTL(2512)	0.575819565161672
CLGN(1047)	0.555074161320462
FUS(2521)	0.676929169026883
FCGR2A(2212)	0.936278420266962
FCER2(2208)	0.529551708972136
CD79B(974)	0.454737551895828
FYB(2533)	0.262026303101958
FOXO1A(2308)	0.0798122444186679
FMNL1(752)	0.516639173494869
FANCG(2189)	0.137984217846851
GAD1(2571)	0.908954398182582
GAPDH(2597)	0.339025884308007
CELSR2(1952)	0.349444113174631
GART(2618)	0.0012705093862475
FLI1(2313)	0.241597969807223
FNTB(2342)	0.976207222210589
GBP1(2633)	0.650560676475173
XRCC6(2547)	0.000553876794290763
CDKN2C(1031)	0.0164416233405368
RHOH(399)	0.963681749965885
CD53(963)	0.068584212277128
GHR(2690)	0.93662026962055
CORT(1325)	0.949426776586614
GLA(2717)	0.48267125268957
GLO1(2739)	0.249403061350418
CNR2(1269)	0.521364448988021
GNAI1(2770)	0.737557675519736
EDG1(1901)	0.00154265428620357
FPR1(2357)	0.368046375175176
GNAI3(2773)	0.899666695147595
CD59(966)	0.83424122143657
GNAO1(2775)	0.952874643510604
BDKRB1(623)	0.797191541877502
GNAQ(2776)	0.0509913987085233
GNAS(2778)	0.661741004527394
GNAZ(2781)	0.271640828419587
GNB1(2782)	0.448595736844937
GNB3(2784)	0.874296685379143
GNB2(2783)	0.0916969558568032
GPI(2821)	0.0652246710845873
AMFR(267)	0.316229533091326
GM2A(2760)	0.732747492292309
CCR7(1236)	0.551266067292189
GRK5(2869)	0.141048514026413
GRB2(2885)	0.050656305221402
CD72(971)	0.381191007323746
GAB1(2549)	0.230064523086382
FYN(2534)	0.0365703816257859
EML1(2009)	0.015575999075686
CDK9(1025)	0.16628089304952
GRIK1(2897)	0.000167152258476451
EPHB4(2050)	0.98298499513459
NR3C1(2908)	1.18929606080633e-08
SFN(2810)	0.0540114821758626
CXCL1(2919)	0.614849811456052
ENO1(2023)	0.542779979313332
CXCL2(2920)	0.43695087101572
MARK2(2011)	0.65134585026353
GSK3B(2932)	0.134112887883916
FN1(2335)	0.000189918976381088
GSPT1(2935)	0.0023818942611109
GSS(2937)	0.000157130372151676
GSTA4(2941)	2.43998548864186e-06
GSTM2(2946)	0.577472051506253
GSTM3(2947)	0.294262276849387
GSTP1(2950)	0.0237687536638753
GSTT2(2953)	0.192840792410422
GSTZ1(2954)	0.229095027398644
GTF2A1(2957)	0.297299309793495
ERCC3(2071)	0.579749225661026
ERCC6(2074)	0.132010232835012
GTF2F2(2963)	0.0329881132896041
GTF2I(2969)	0.502414037496976
PDIA3(2923)	0.699819292895493
GZMA(3001)	0.993977023380871
GZMB(3002)	0.0789712677491166
H2AFX(3014)	0.776381865085678
HADHSC(3033)	0.490961571612051
HBB(3043)	0.0112813975405404
HBZ(3050)	0.0884592761752032
SERPIND1(3053)	0.296837428626656
HCFC1(3054)	0.0447744348501403
GABPB2(2553)	0.895129253472232
HCK(3055)	0.000358769635317274
RAPGEF1(2889)	0.167760969649095
CHD1(1105)	0.00435478299737807
HDAC1(3065)	0.000549472145044624
HINT1(3094)	0.00375702155147335
CD63(967)	0.536035396370314
HLA-DPA1(3113)	0.00940376795888408
CUTL1(1523)	0.960187380025586
FOXC1(2296)	0.123381062157123
HMGN2(3151)	0.255435691653541
ELF1(1997)	0.783660706798807
NR4A1(3164)	0.163155953345472
FEN1(2237)	0.212867000745472
HNRPK(3190)	0.0789773142265217
HNRPA2B1(3181)	0.464152565133575
CSE1L(1434)	0.0625470476941353
TLX1(3195)	0.00294042664786657
CDC27(996)	0.450090413828815
HPRT1(3251)	0.00393679818852439
HRB(3267)	0.0947336378334926
FBL(2091)	1.82875888188892e-06
HRMT1L2(3276)	0.000111691137985099
GSK3A(2931)	0.000182999764277746
CD58(965)	0.0504145744724048
DUSP1(1843)	0.123719676036457
DPH1(1801)	0.0729054960856038
GOT2(2806)	0.00881063884498243
EPRS(2058)	0.205832566417984
HSPCA(3320)	0.010835511276196
HIF1A(3091)	2.8634945699175e-05
CA2(760)	0.547484673009612
GBP2(2634)	0.0883374468800023
GNA11(2767)	0.575701317189618
HSPA5(3309)	0.535922887708019
GARS(2617)	0.574343706059108
ICAM1(3383)	0.777588884692203
HES1(3280)	0.806531985765491
ID2(3398)	0.952552750187595
ELK3(2004)	0.525812698835675
ID3(3399)	0.0195739773116842
IDH3A(3419)	5.78671371301954e-10
ID1(3397)	0.870576483065402
IFIT1(3434)	0.570696449330802
IFIT2(3433)	0.31945179763957
IFIT3(3437)	0.378779082187879
IFNAR1(3454)	0.769434976565627
IFNAR2(3455)	0.256977028459024
IFNG(3458)	0.480106896781479
IFNGR1(3459)	0.86403208156019
HDAC2(3066)	0.587379492883965
IGF1(3479)	0.381249623047585
GNAI2(2771)	0.241127750076415
IGF2R(3482)	0.0139266273831536
HK3(3101)	0.704808168691511
IGLL1(3543)	0.875835660670257
IKBKB(3551)	0.17234036193954
IL1B(3553)	0.0879195643513987
IL1R1(3554)	0.00551438055842791
IL2RB(3560)	0.278488419872384
HRAS(3265)	0.479495903044336
IL2RG(3561)	0.0876495347310944
IL6(3569)	0.677510419717217
IL6R(3570)	0.95259040915725
IL6ST(3572)	0.902061502565533
IL7(3574)	0.169655506360559
IL8(3576)	0.0974244566785519
CXCL3(2921)	0.922229570662498
IL8RB(3579)	0.940707649374288
IL10RA(3587)	0.0198723121963437
IL11(3589)	0.889056132661942
IL12RB1(3594)	0.024801782631169
IL4R(3566)	0.093746089657825
IL13(3596)	0.810727283782524
IL15(3600)	0.361230015902004
IL16(3603)	0.0196177997799005
CXCL10(3627)	0.0509450090553092
FCGR2B(2213)	0.000558779430213582
INSR(3643)	0.513647811203442
IRAK1(3654)	0.215515258463488
IL1RAP(3556)	0.0559874014252871
CD151(977)	0.29781616189952
HMGA1(3159)	4.97198979709501e-07
IRF8(3394)	0.0623500682985669
IRF3(3661)	0.00274385266732259
PRDM1(639)	0.585954730745687
IRS1(3667)	0.00481019309668667
ITGA1(3672)	0.0833346638735509
ITGA3(3675)	0.281080681326894
ITGA4(3676)	0.336978175163489
TNC(3371)	0.46689799118448
ITGA7(3679)	0.215600143807958
ITGA9(3680)	0.981924602181481
ICAM3(3385)	0.000815634824307567
ITGAL(3683)	0.150269413775304
ICAM2(3384)	0.835938953994655
HP(3240)	0.302190734398671
CYR61(3491)	0.220822738460375
ITGA5(3678)	0.0300373003270497
ITGAV(3685)	0.0114097557511175
ITGA6(3655)	1.78874067407131e-10
ITGA2(3673)	0.750704670375997
ILK(3611)	0.282176205271028
ITGB2(3689)	0.00689404649532469
ITGAX(3687)	0.000592968238443391
ITGAM(3684)	0.283038965514371
DAB1(1600)	0.967327167923197
ITGB3(3690)	0.470799476473002
ALOX12(239)	0.889895865326641
ITGB4(3691)	0.540418128642392
ITGB5(3693)	1.80415626478687e-05
ITGAE(3682)	0.0504867584244914
ITK(3702)	0.557276251464714
ITPR1(3708)	0.11933314571394
IL3RA(3563)	0.394406348451085
IL7R(3575)	0.511991300175038
IL5RA(3568)	0.102473475122745
JAK1(3716)	0.691307394195742
IFNGR2(3460)	0.717482127859971
JAK2(3717)	0.15003021454481
GATA2(2624)	0.551759460841046
JUN(3725)	0.336264589272343
HHEX(3087)	0.16306452760687
FOSL2(2355)	0.784849605466532
FOSB(2354)	0.00127406174396845
JUNB(3726)	0.16858020384337
ANK3(288)	0.560946640830046
KDR(3791)	0.803200384769536
KIT(3815)	0.659276389340204
IGFBP3(3486)	0.03863785037845
KLRD1(3824)	0.843598607317212
CTSS(1520)	0.352181876227332
KNG1(3827)	0.0279068057852654
KIF11(3832)	0.86330223297664
KPNB1(3837)	0.0915660839912171
TNPO1(3842)	0.444819287794003
HNRPD(3184)	0.12983196236577
KRT6B(3854)	0.538098116110367
LAMA2(3908)	0.599760344199667
LBR(3930)	0.00696195529970756
LCK(3932)	5.47703827973858e-06
LCP1(3936)	0.917886822517209
LDHA(3939)	0.0553613404943874
LDHB(3945)	0.475024917168559
LGALS1(3956)	0.753679898316923
LIF(3976)	0.967380451013347
NRG1(3084)	0.0422126932502477
CDKN1C(1028)	0.711602254194754
LIMK1(3984)	0.686100258107042
LMNA(4000)	0.876779812354471
GATA3(2625)	0.0859130981093627
GATA1(2623)	0.959056954837615
CD82(3732)	0.565008949093731
LTBR(4055)	0.359867343124735
LY9(4063)	0.236252736411321
LMO2(4005)	2.86895554845311e-07
LYN(4067)	0.000120510970114295
LCP2(3937)	0.164796590431436
HCLS1(3059)	0.324891437382071
ANPEP(290)	0.653099142501243
LAIR1(3903)	0.170274744756242
GPIAP1(4076)	0.22169528757254
MXD1(4084)	0.673992267284257
MAD2L1(4085)	0.708782005134093
SMAD1(4086)	0.845268017180623
SMAD2(4087)	8.04642900618367e-05
JUND(3727)	0.458578737178629
HIVEP1(3096)	0.00469268147744983
SMAD3(4088)	0.64054599619983
HDGF(3068)	0.0150560847064399
SMAD4(4089)	4.26518254042115e-05
SMAD7(4092)	0.708238804625309
LNPEP(4012)	0.884080535035138
LRP5(4041)	0.925662625469779
EIF3S6(3646)	0.824048987720627
MAF(4094)	0.496436522419217
MAFG(4097)	0.00216928535902952
COL9A2(1298)	0.914367175265316
ILF3(3609)	0.0503407385420065
MAOA(4128)	0.273343117508022
MAGOH(4116)	0.0106785584516055
MATN1(4146)	0.00750094635972809
MAX(4149)	0.766540228780967
DCC(1630)	0.974232228144206
SMAD5(4090)	0.0284964114093801
MCF2(4168)	0.120601542109606
DAD1(1603)	0.519543358006322
BOK(666)	0.327203765296206
MCL1(4170)	0.377727715569678
MCM2(4171)	9.59105393096634e-06
MCM4(4173)	0.666728453446099
MCM7(4176)	0.212224869112188
HOXA1(3198)	0.527997342703925
DUSP6(1848)	0.449120313344137
MDH1(4190)	0.440355819379595
FH(2271)	0.00357921418259588
CS(1431)	0.938349922608017
MDM2(4193)	0.942721178296631
MEF2A(4205)	0.422791716694001
MEF2B(4207)	0.00015518279024362
MEF2C(4208)	0.404676399125107
HOXA11(3207)	0.852031764547023
HOXA2(3199)	0.478083793206088
MAP3K4(4216)	0.938263727125967
MAP3K5(4217)	0.176297135482877
INPPL1(3636)	0.222402431331414
MET(4233)	0.473211324039326
JAG1(182)	0.00330338114299498
MGST1(4257)	4.97766419613049e-05
IGBP1(3476)	0.000914811342615664
MIF(4282)	0.0421165128103204
MKI67(4288)	0.942002288830893
MAP3K11(4296)	0.890427885316642
MLL(4297)	0.891758204372315
MLLT3(4300)	0.0877421097516438
COL6A3(1293)	0.678793320178814
MMP1(4312)	0.263280899472608
MMP9(4318)	0.000197167172112458
MMP7(4316)	0.255651040561262
MMP13(4322)	0.365703620552757
MMP2(4313)	3.72210544122144e-08
MPO(4353)	0.416859006382452
GNG7(2788)	0.751326493069288
LIG1(3978)	0.565140793499298
MSH6(2956)	0.381626145773896
MSH2(4436)	0.493155098242821
MLH1(4292)	0.320938461564407
MSH4(4438)	0.128410775231186
MSN(4478)	0.394076621323136
MSX1(4487)	0.265921492225135
MTHFD1(4522)	0.00069851322839102
JUP(3728)	3.33545101091167e-06
MX1(4599)	0.567964422545211
MX2(4600)	0.506836963318722
ATBF1(463)	0.320889361527958
MYBL2(4605)	0.019951045333838
MXI1(4601)	0.26773074869411
MYD88(4615)	0.0589637325859497
IRF5(3663)	0.750683509630275
IRF4(3662)	2.59719359894513e-08
DNAJB9(4189)	2.22602380139706e-05
MYL2(4633)	0.00803796340326534
BIRC1(4671)	0.690136022175211
HIST1H1C(3006)	0.0962463556168112
MRE11A(4361)	0.100664729384421
NCAM1(4684)	0.310721126862954
CYBB(1536)	0.792921049376746
NCF1(4687)	0.191447373443143
NCF2(4688)	0.0176557770470565
CSNK1G2(1455)	0.185730577587599
MYB(4602)	0.183981969359135
FMR1(2332)	0.986733072000423
MYBL1(4603)	0.00590840147794965
KCNH2(3757)	0.243983888232214
SP110(3431)	0.0364408911091157
LYL1(4066)	0.017576977755277
NEDD4(4734)	0.53680490704706
HIP2(3093)	0.222414795115217
NCK1(4690)	0.767466987473468
NEK2(4751)	0.792893838950417
EGR4(1961)	0.808059735170671
NFATC2(4773)	0.0673037509181241
NFIL3(4783)	0.430823239475497
DR1(1810)	0.711139659590498
NFKB1(4790)	0.0930734875312032
MEN1(4221)	0.217662391143445
MAP3K8(1326)	0.191853981882616
IRF2(3660)	0.014752646664453
IRF1(3659)	0.165339995803291
KPNA3(3839)	0.04493946162558
DDX3X(1654)	0.247347582938019
GLG1(2734)	0.733144063655405
NFKB2(4791)	0.765522261355479
HOXB7(3217)	0.797714864795615
NFKBIA(4792)	0.882005651824513
MCC(4163)	0.0546471578426605
MYC(4609)	7.33635640779719e-07
NFYA(4800)	0.135611925952557
CIITA(4261)	0.610596953935778
NME1(4830)	0.024581126237657
NME3(4832)	0.330440913510387
NME4(4833)	1.96380040818302e-05
NQO2(4835)	0.420921388811882
MARCKS(4082)	6.54298785401559e-05
NOS2A(4843)	0.0354033935363138
RBPSUH(3516)	0.0220882851508272
NOTCH1(4851)	0.482104965612157
MFNG(4242)	0.0184127316760689
NOL1(4839)	1.78040467131469e-05
MME(4311)	0.00395725940907283
ARHGAP4(393)	0.054432729970011
NGFR(4804)	0.196411514550498
NEO1(4756)	0.626330882578039
OCLN(4950)	0.717749451031839
ODC1(4953)	0.00120839517748276
OGG1(4968)	0.152583398916529
LIFR(3977)	0.66979814360731
MAP1B(4131)	0.35015546315401
MYLK(4638)	0.0395266248300208
PAK1(5058)	0.748362142007469
PAK2(5062)	0.0100813266917782
PAWR(5074)	0.827561143458088
PAX3(5077)	0.942033787219566
PAX5(5079)	0.0492133004319291
PCBP2(5094)	0.864565873673751
PCNA(5111)	0.0547043226245526
GADD45B(4616)	0.850415231491867
MUTYH(4595)	0.00442821051649128
ING1(3621)	0.136331494746213
PCOLN3(5119)	0.515915595992218
PDE9A(5152)	0.7066964453234
PDGFB(5155)	0.0935006016586571
PDGFRA(5156)	0.522422880835872
PDGFRB(5159)	0.043331127510453
PDHA1(5160)	0.603017049376237
PDHB(5162)	0.989092193520249
PDPK1(5170)	0.689239862224205
ABCC2(1244)	0.416991613556077
SCARB1(949)	0.791235942181588
PECAM1(5175)	0.991216839614759
PEX1(5189)	0.202122462905916
PFN2(5217)	0.469328278196245
IK(3550)	0.00964665281697542
GBE1(2632)	0.217520220820812
PGF(5228)	0.400523551005531
HMGB2(3148)	0.615467205989655
MAP3K10(4294)	0.374470236318282
PHKG1(5260)	0.829362741253674
PIGA(5277)	0.0436230256653529
LTK(4058)	0.0168441501006533
NFATC1(4772)	0.000167412007110594
PIK3CD(5293)	0.0288833531083676
KRAS(3845)	0.0176220690181534
PIK3R1(5295)	3.41361262447192e-05
PIK3CA(5290)	6.34222312886384e-05
PIK3CB(5291)	0.73101130387129
PIK3C3(5289)	0.0361497446152698
PKD1(5310)	0.87864463169342
KRT14(3861)	0.018806885159414
MARK3(4140)	0.116465760542268
PLA2G2A(5320)	0.204842972051685
PLA2G1B(5319)	0.428190332020652
PLAU(5328)	0.000227287117888554
MMP12(4321)	0.337620873914921
PLCG2(5336)	0.316299481858944
LMNB1(4001)	0.61021669723787
PLG(5340)	0.843412251862125
